,N,f,Fisher,kappa,inc_org
643,472,0.75000000000000022,True,75,78
644,87,0.80000000000000016,True,55,12
645,384,0.8500000000000002,True,25,77
646,269,0.90000000000000024,True,10,66
647,382,0.95000000000000029,True,45,55
648,418,0.10000000000000001,False,60,36
649,235,0.15000000000000002,False,30,84
650,354,0.20000000000000004,False,65,3
651,478,0.25000000000000006,False,45,52
652,87,0.30000000000000004,False,5,31
653,275,0.35000000000000009,False,10,55
654,452,0.40000000000000013,False,40,17
655,96,0.45000000000000007,False,20,5
656,482,0.50000000000000011,False,10,60
657,182,0.55000000000000016,False,75,13
658,53,0.6000000000000002,True,30,48
659,149,0.65000000000000013,True,45,86
660,101,0.70000000000000018,True,30,76
661,324,0.75000000000000022,False,75,15
662,119,0.80000000000000016,True,65,69
663,245,0.8500000000000002,True,40,55
664,78,0.90000000000000024,True,45,53
665,232,0.95000000000000029,True,75,15
666,116,0.10000000000000001,False,15,16
667,485,0.15000000000000002,False,10,0
668,382,0.20000000000000004,False,5,37
669,470,0.25000000000000006,False,25,23
670,229,0.30000000000000004,False,35,63
671,443,0.35000000000000009,False,60,8
672,173,0.40000000000000013,False,65,58
673,118,0.45000000000000007,False,55,23
674,276,0.50000000000000011,False,20,29
675,356,0.55000000000000016,False,45,13
676,437,0.6000000000000002,False,45,45
677,71,0.65000000000000013,True,70,31
678,137,0.70000000000000018,True,60,17
679,269,0.75000000000000022,True,35,65
680,154,0.80000000000000016,True,60,65
681,176,0.8500000000000002,True,15,53
682,398,0.90000000000000024,True,70,65
683,28,0.95000000000000029,True,65,24
684,254,0.10000000000000001,False,50,50
685,217,0.15000000000000002,False,5,14
686,449,0.20000000000000004,False,60,43
687,107,0.25000000000000006,False,35,45
688,345,0.30000000000000004,False,20,88
689,451,0.35000000000000009,False,20,6
690,390,0.40000000000000013,False,10,51
691,130,0.45000000000000007,True,45,73
692,374,0.50000000000000011,True,50,85
693,115,0.55000000000000016,False,30,58
694,424,0.6000000000000002,False,60,62
695,251,0.65000000000000013,False,40,54
696,414,0.70000000000000018,False,45,46
697,271,0.75000000000000022,True,5,49
698,300,0.80000000000000016,False,45,34
699,279,0.8500000000000002,False,50,46
700,257,0.90000000000000024,True,20,89
701,165,0.95000000000000029,True,50,70
702,57,0.10000000000000001,False,5,65
703,161,0.15000000000000002,False,75,33
704,153,0.20000000000000004,False,45,45
705,418,0.25000000000000006,False,30,64
706,407,0.30000000000000004,False,45,29
707,298,0.35000000000000009,False,25,72
708,173,0.40000000000000013,False,75,40
709,280,0.45000000000000007,False,45,16
710,15,0.50000000000000011,True,10,25
711,100,0.55000000000000016,True,10,66
712,240,0.6000000000000002,False,20,39
713,452,0.65000000000000013,False,55,8
714,411,0.70000000000000018,True,55,32
715,370,0.75000000000000022,False,55,23
716,20,0.80000000000000016,True,70,7
717,198,0.8500000000000002,True,10,44
718,40,0.90000000000000024,True,5,68
719,132,0.95000000000000029,True,50,68
720,12,0.10000000000000001,True,25,65
721,176,0.15000000000000002,False,35,20
722,23,0.20000000000000004,True,10,64
723,12,0.25000000000000006,True,20,54
724,48,0.30000000000000004,False,70,64
725,133,0.35000000000000009,False,40,17
726,388,0.40000000000000013,False,55,50
727,220,0.45000000000000007,False,65,28
728,369,0.50000000000000011,False,15,26
729,278,0.55000000000000016,False,60,14
730,313,0.6000000000000002,False,65,0
